mission_id,start_lat,start_lon,end_lat,end_lon,altitude_m,max_exposure_time_s,min_standoff_m,abort_condition,notes
M001,12.9716,77.5946,13.0827,77.5877,200,300,500,"threat_detection","Urban to suburban reconnaissance - low risk"
M002,12.9716,77.5946,12.9789,77.5917,150,180,300,"fuel_critical","Urban to airport cargo delivery - time critical"
M003,12.9716,77.5946,13.0067,77.5611,300,120,800,"threat_detection","Urban to military base - high risk"
M004,13.0827,77.5877,12.9537,77.6508,250,240,600,"system_failure","Suburban to rural surveillance - medium risk"
M005,13.0827,77.5877,13.0222,77.6433,180,200,400,"weather_severe","Suburban to mixed terrain - moderate risk"
M006,12.9789,77.5917,13.0067,77.5611,400,90,1000,"threat_detection","Airport to military base - high security"
M007,12.9789,77.5917,12.9279,77.6271,220,300,500,"fuel_critical","Airport to industrial area - cargo mission"
M008,13.0067,77.5611,12.9716,77.5946,350,150,700,"threat_detection","Military to urban - high risk return"
M009,13.0067,77.5611,13.0588,77.5425,500,60,1200,"system_failure","Military to highland - extreme terrain"
M010,12.9537,77.6508,12.9716,77.5946,180,360,400,"weather_severe","Rural to urban - long distance"
M011,12.9537,77.6508,13.0827,77.5877,200,280,500,"fuel_critical","Rural to suburban - supply mission"
M012,13.0222,77.6433,12.9789,77.5917,250,220,600,"threat_detection","Mixed terrain to airport - surveillance"
M013,13.0222,77.6433,13.0067,77.5611,300,180,800,"system_failure","Mixed terrain to military - high risk"
M014,12.9279,77.6271,12.9716,77.5946,200,320,500,"weather_severe","Industrial to urban - emergency response"
M015,12.9279,77.6271,13.0827,77.5877,180,340,400,"fuel_critical","Industrial to suburban - logistics"
M016,13.0588,77.5425,12.9716,77.5946,400,200,900,"threat_detection","Highland to urban - emergency extraction"
M017,13.0588,77.5425,13.0067,77.5611,450,120,1100,"system_failure","Highland to military - rescue mission"
M018,12.9716,77.5946,13.0588,77.5425,350,180,800,"threat_detection","Urban to highland - reconnaissance"
M019,13.0827,77.5877,12.9279,77.6271,220,300,500,"weather_severe","Suburban to industrial - inspection"
M020,12.9789,77.5917,13.0222,77.6433,280,240,600,"fuel_critical","Airport to mixed terrain - survey mission"
