patrol_id,vehicle_type,start_lat,start_lon,end_lat,end_lon,altitude_m,speed_mps,pattern_type,start_time,end_time,notes
PAT001,UAV,12.9716,77.5946,12.9726,77.5956,200,15.0,linear,08:00:00,18:00:00,"Urban UAV patrol - linear pattern"
PAT002,UAV,12.9716,77.5946,12.9726,77.5956,250,12.0,circular,06:00:00,22:00:00,"Urban UAV patrol - circular pattern"
PAT003,UAV,12.9716,77.5946,12.9726,77.5956,180,18.0,random,10:00:00,16:00:00,"Urban UAV patrol - random pattern"
PAT004,UGV,12.9716,77.5946,12.9726,77.5956,0,8.0,linear,00:00:00,23:59:59,"Urban UGV patrol - 24/7 linear"
PAT005,UGV,12.9716,77.5946,12.9726,77.5956,0,6.0,circular,20:00:00,06:00:00,"Urban UGV patrol - night circular"
PAT006,UAV,13.0827,77.5877,13.0837,77.5887,300,20.0,linear,07:00:00,19:00:00,"Suburban UAV patrol - high altitude"
PAT007,UAV,13.0827,77.5877,13.0837,77.5887,250,16.0,circular,08:00:00,18:00:00,"Suburban UAV patrol - medium altitude"
PAT008,UGV,13.0827,77.5877,13.0837,77.5887,0,10.0,linear,06:00:00,22:00:00,"Suburban UGV patrol - extended hours"
PAT009,UAV,12.9789,77.5917,12.9799,77.5927,400,25.0,linear,06:00:00,22:00:00,"Airport UAV patrol - high speed"
PAT010,UAV,12.9789,77.5917,12.9799,77.5927,350,22.0,circular,08:00:00,20:00:00,"Airport UAV patrol - circular coverage"
PAT011,UGV,12.9789,77.5917,12.9799,77.5927,0,12.0,linear,00:00:00,23:59:59,"Airport UGV patrol - 24/7 security"
PAT012,UAV,13.0067,77.5611,13.0077,77.5621,500,30.0,linear,00:00:00,23:59:59,"Military UAV patrol - continuous"
PAT013,UAV,13.0067,77.5611,13.0077,77.5621,450,28.0,circular,06:00:00,18:00:00,"Military UAV patrol - day circular"
PAT014,UGV,13.0067,77.5611,13.0077,77.5621,0,15.0,random,00:00:00,23:59:59,"Military UGV patrol - random pattern"
PAT015,UAV,12.9537,77.6508,12.9547,77.6518,150,12.0,linear,08:00:00,18:00:00,"Rural UAV patrol - low altitude"
PAT016,UAV,12.9537,77.6508,12.9547,77.6518,120,10.0,circular,06:00:00,20:00:00,"Rural UAV patrol - extended coverage"
PAT017,UGV,12.9537,77.6508,12.9547,77.6518,0,8.0,linear,10:00:00,16:00:00,"Rural UGV patrol - daytime only"
PAT018,UAV,13.0222,77.6433,13.0232,77.6443,280,18.0,linear,07:00:00,19:00:00,"Mixed terrain UAV patrol - medium altitude"
PAT019,UAV,13.0222,77.6433,13.0232,77.6443,220,15.0,circular,08:00:00,18:00:00,"Mixed terrain UAV patrol - circular"
PAT020,UGV,13.0222,77.6433,13.0232,77.6443,0,9.0,random,06:00:00,22:00:00,"Mixed terrain UGV patrol - random"
PAT021,UAV,12.9279,77.6271,12.9289,77.6281,200,16.0,linear,08:00:00,18:00:00,"Industrial UAV patrol - standard hours"
PAT022,UAV,12.9279,77.6271,12.9289,77.6281,180,14.0,circular,06:00:00,22:00:00,"Industrial UAV patrol - extended hours"
PAT023,UGV,12.9279,77.6271,12.9289,77.6281,0,11.0,linear,00:00:00,23:59:59,"Industrial UGV patrol - 24/7"
PAT024,UAV,13.0588,77.5425,13.0598,77.5435,600,35.0,linear,00:00:00,23:59:59,"Highland UAV patrol - continuous high altitude"
PAT025,UAV,13.0588,77.5425,13.0598,77.5435,550,32.0,circular,06:00:00,18:00:00,"Highland UAV patrol - day circular"
PAT026,UGV,13.0588,77.5425,13.0598,77.5435,0,12.0,random,08:00:00,16:00:00,"Highland UGV patrol - limited access"
